code	meaning
M-76850	EPULIS
M-77600	HEMATOPOIETIC CELL PROLIFERATION, NOS
M-77610	LEUKEMOID REACTION
M-77620	ERYTHROBLASTOSIS, NOS
M-77630	LEUKOERYTHROBLASTOSIS, NOS
M-77700	POLYCYTHEMIA, NOS  (EXCEPT -VERA & -RUBRA VERA, M-99501)
M-77800	HISTIOCYTOSIS, NOS
M-77810	SINUS HISTIOCYTOSIS
M-78000	PERIPHERAL BLOOD (P.B.), ABNORMAL CELL, NOS
M-78100	MITOTIC CELL, NOS
M-78150	HYPERSEGMENTED LEUKOCYTE
M-78160	HYPOSEGMENTED LEUKOCYTE
M-78170	ATYPICAL LYMPHOCYTE
M-78200	RED BLOOD CELL SHAPE ALTERATION, NOS
M-78210	ACANTHOCYTE
M-78220	ANISOCYTOSIS
M-78250	BURR CELL
M-78260	CRENATED CELL
M-78270	ELLIPTOCYTE
M-78280	LEPTOCYTOSIS
M-78300	POIKILOCYTOSIS
M-78310	SCHISTOCYTE
M-78320	SICKLE CELL
M-78330	SPEROCYTE
M-78340	TARGET CELL
M-78400	HEMATOPOIETIC CELL CYTOPLASMIC ALTERATION, NOS
M-78450	DOHLE BODY
M-78460	HEINZ BODY
M-78470	HOWELL-JOLLY BODY
M-78520	ROSETTE
M-78530	ANISOCHROMIA
M-78560	LUPUS ERYTHEMATOSUS CELL
M-78600	ERYTHROCYTE ABNORMALITY, NOS
M-78610	ERYTHROCYTE, MICROCYTIC HYPOCHROMIC
M-78620	ERYTHROCYTE, MACROCYTIC NORMOCHROMIC
M-78630	ERYTHROCYTE, MACROCYTIC HYPERCHROMIC
M-78740	ROULEAUX FORMATION
M-79100	BREAST, CYCLIC ALTERATION, NOS  (T-04...)
M-79170	BREAST, POSTLACTATION INVOLUTION
M-79200	VAGINA, CYCLIC ALTERATION, NOS  (T-81...)
M-79220	VAGINA, SECRETORY ALTERATION
M-79300	ENDOMETRIUM, CYCLIC ALTERATION, NOS  (T-84...)
M-79310	ENDOMETRIUM, PROLIFERATIVE
M-79330	ENDOMETRIUM, MENSTRUAL
M-79370	ENDOMETRIUM, ATROPHIC
M-79410	ENDOMETRIAL GESTATIONAL ALTERATION, NOS
M-79450	ENDOMETRIUM OF DYSFUNCTIONAL UTERINE BLEEDING
M-79500	DECIDUAL ALTERATION, NOS
M-79600	OVARY, CYCLIC ALTERATION, NOS  (T-87...)
M-79610	CYSTIC OVARIAN FOLLICLE
M-79650	CORPUS HEMORRHAGICUM
M-79680	PREGNANCY LUTEOMA
M-79690	CORPUS LUTEUM OF PREGNANCY
M-79800	CERVICAL ALTERATION, NOS
M-79900	REGENERATION, NOS
M-79960	RE-EPITHELIALIZATION
M-80000	NEOPLASM, BENIGN
M-80001	NEOPLASM, UNCERTAIN  (BORDERLINE MALIGNANCY)
M-80003	NEOPLASM, MALIGNANT
M-80006	NEOPLASM, METASTATIC
M-80102	CARCINOMA IN SITU, NOS
M-80103	CARCINOMA, NOS
M-80110	EPITHELIOMA, BENIGN
M-80203	CARCINOMA, UNDIFFERENTIATED TYPE, NOS
M-80500	PAPILLOMA, NOS  (EXCEPT OF URINARY BLADDER M-81201)
M-80520	SQUAMOUS CELL PAPILLOMA
M-80523	PAPILLARY SQUAMOUS CELL CARCINOMA
M-80600	PAPILLOMATOSIS
M-80703	SQUAMOUS CELL CARCINOMA
M-80901	BASAL CELL TUMOR
M-80903	BASAL CELL CARCINOMA
M-80943	BASOSQUAMOUS CARCINOMA
M-80946	BASOSQUAMOUS CARCINOMA, METASTATIC
M-81000	TRICHOEPITHELIOMA
M-81100	PILOMATRIXOMA
M-81200	PAPILLOMA, TRANSITIONAL CELL
M-81203	TRANSITIONAL CELL CARCINOMA, NOS
M-81303	PAPILLARY TRANSITIONAL CELL CARCINOMA
M-81400	ADENOMA
M-81403	ADENOCARCINOMA
M-81406	ADENOCARCINOMA, METASTATIC
M-81470	BASAL CELL ADENOMA
M-81500	ISLET CELL ADENOMA
M-81510	INSULINOMA, NOS
M-81600	BILE DUCT ADENOMA
M-81603	BILE DUCT CARCINOMA
M-81700	HEPATOMA
M-81703	HEPATOCARCINOMA
M-82100	ADENOMATOUS POLYP
M-82200	POLYPOSIS
M-82501	PULMONARY ADENOMATOSIS
M-82503	BRONCHIOLAR ADENOCARCINOMA
M-82600	PAPILLARY ADENOMA, NOS
M-82603	PAPILLARY ADENOCARCINOMA
M-82900	ONCHOCYTOMA
M-83123	RENAL CELL CARCINOMA
M-83300	FOLLICULAR ADENOMA
M-83700	ADRENAL CORTICAL ADENOMA
M-83900	ADNEXAL TUMOR
M-84040	HIDROCYSTOMA
M-84200	CERUMINOUS ADENOMA
M-84400	CYSTADENOMA, NOS
M-84403	CYSTADENOCARCINOMA, NOS
M-84410	SEROUS CYSTADENOMA, NOS  (T-87...)
M-85103	ULTIMOBRANCHIAL TUMOR
M-85603	ADENOSQUAMOUS CARCINOMA
M-85606	METASTATIC ADENOSQUAMOUS CARCINOMA
M-85800	THYMOMA, BENIGN
M-86100	LUTEOMA
M-86201	GRANULOSA CELL TUMOR, NOS
M-86400	SERTOLI CELL TUMOR
M-86501	INTERSTITIAL CELL TUMOR, NOS
M-87000	PHEOCHROMOCYTOMA
M-87200	MELANOMA, BENIGN
M-87203	MELANOMA, MALIGNANT
M-87206	MELANOMA, MALIGNANT, METASTATIC SITE
M-88003	SARCOMA, NOS
M-88100	FIBROMA, BENIGN
M-88103	FIBROSARCOMA, NOS
M-88110	MYXOID FIBROMA
M-88113	FIBROMYXOSARCOMA
M-88300	FIBROUS HISTIOCYTOMA (DERMATOFIBROMA)
M-88303	FIBROUS HISTIOCYTOMA, MALIGNANT
M-88306	FIBROUS HISTIOCYTOMA, MALIGNANT, METASTATIC
M-88320	HISTIOCYTOMA, NOS
M-88323	DERMATOFIBROSARCOMA PROTUBERANS
M-88400	MYXOMA, NOS
M-88403	MYXOSARCOMA, NOS
M-88500	LIPOMA
M-88503	LIPOSARCOMA, NOS
M-88510	FIBROMA MOLLE
M-88700	MYELOLIPOMA
M-88900	LEIOMYOMA, NOS
M-88903	LEIOMYOSARCOMA
M-89003	RHABDOMYOSARCOMA, NOS
M-89601	NEPHROMA, MESOBLASTIC
M-89603	NEPHROBLASTOMA, NOS
M-89630	WILM'S TUMOR
M-89903	MALIGNANT MESENCHYMOMA
M-90100	FIBROADENOMA
M-90403	SARCOMA, SYNOVIAL, NOS
M-90500	MESOTHELIOMA, BENIGN
M-90503	MESOTHELIOMA, MALIGNANT
M-90603	DYSGERMINOMA
M-90613	SEMINOMA, NOS
M-90801	TERATOMA
M-91000	HYDATIDIFORM MOLE
M-91006	METASTATIC CHORIOCARCINOMA
M-91200	HEMANGIOMA, NOS
M-91203	HEMANGIOSARCOMA
M-91210	HEMANGIOMA, CAVERNOUS
M-91501	HEMANGIOPERICYTOMA, NOS
M-91503	HEMANGIOPERICYTOMA, MALIGNANT
M-91700	LYMPHANGIOMA, NOS
M-91800	OSTEOMA, NOS
M-91803	OSTEOSARCOMA, NOS
M-92100	OSTEOCHONDROMA
M-92200	CHONDROMA, NOS
M-92203	CHONDROSARCOMA, NOS
M-92501	OSTEOCLASTOMA, NOS
M-92800	ODONTOMA, NOS
M-93100	ADAMANTINOMA, NOS
M-93913	EPENDYMOMA, NOS
M-94003	ASTROCYTOMA, NOS
M-94503	OLIGODENDROGLIOMA, NOS
M-95300	MENINGIOMA, NOS
M-95400	NEUROFIBROMA, NOS
M-95403	NEUROFIBROSARCOMA
M-95600	SCHWANNOMA
M-95603	SCHWANNOMA, MALIGNANT
M-95800	MYOBLASTOMA
M-95903	MALIGNANT LYMPHOMA, NOS
M-96103	LYMPHOSARCOMA, NOS
M-96113	MALIGNANT LYMPHOMA
M-96403	RETICULUM CELL SARCOMA
M-96503	HODGKINS'S DISEASE
M-97303	PLASMA CELL MYELOMA
M-97310	PLASMACYTOSIS
M-97401	MASTOCYTOMA, NOS
M-97413	MALIGNANT MASTOCYTOSIS
M-98003	LEUKEMIA, NOS
M-98423	CHRONIC ERYTHREMIA  (T-0X...) (T-06...)
M-98613	ACUTE GRANULOCYTIC LEUKEMIA
M-99601	MYELOPROLIFERATIVE DISEASE, CHRONIC
M-YY001	MUTILATION, NOS
M-YY002	ATYPIA, CYTOLOGIC, NOS
M-YY003	MICROHERNIA
M-YY004	GENERALIZED
M-YY005	SEGMENTAL
M-YY043	ASPIRATE
M-YY590	DEPLETION, IRON  (T-06000)
P-00020	PROCEDURE, NOT APPLICABLE
P-00100	PROCEDURE, NOS
P-00120	OPERATIVE PROCEDURE
P-00200	HOSPITAL ADMISSION, NOS
P-00450	HOSPITAL ADMISSION, FOR OBSERVATION
P-00650	HOSPITAL ADMISSION, SHORT-TERM, NOS
P-01000	PATIENT DISCHARGE, NOS
P-01180	PATIENT DISCHARGE, DECEASED, AUTOPSY
P-01190	PATIENT DISCHARGE, DECEASED, NO AUTOPSY
P-02300	PHYSICAL EXAMINATION, NOS
P-02310	PHYSICAL EXAMINATION, COMPLETE
P-02320	PHYSICAL EXAMINATION, LIMITED
P-02340	EXAMINATION UNDER GENERAL ANESTHESIA
P-02350	INSPECTION, NOS
P-02360	PALPATION, NOS
P-02400	PALPATION, BIMANUAL
P-02500	PERCUSSION, NOS
P-02550	AUSCULTATION, NOS
P-02600	SPECIALIZED MEDICAL EXAMINATION, NOS
P-02610	MEDICAL EXAMINATION UNDER SEDATION
P-02650	CLINICAL PHOTOGRAPHY, NOS
P-02700	HISTORY AND PHYSICAL EXAMINATION, NOS
P-02720	HISTORY AND PHYSICAL EXAMINATION, LIMITED
P-02730	HISTORY AND PHYSICAL EXAMINATION, DIAGNOSTIC
P-02750	HISTORY AND PHYSICAL EXAMINATION, FOLLOW-UP
P-04510	PATIENT STATUS DETERMINATION, UNCHANGED
P-04520	PATIENT STATUS DETERMINATION, SLIGHTLY IMPROVED
P-04530	PATIENT STATUS DETERMINATION, MODERATELY IMPROVED
P-04540	PATIENT STATUS DETERMINATION, GREATLY IMPROVED
P-04570	PATIENT STATUS DETERMINATION, SLIGHTLY WORSE
P-04580	PATIENT STATUS DETERMINATION, MODERATELY WORSE
P-04590	PATIENT STATUS DETERMINATION, MUCH WORSE
P-04600	PATIENT STATUS DETERMINATION, CRITICAL
P-04620	PATIENT STATUS DETERMINATION, PRE-TERMINAL
P-04650	PATIENT STATUS DETERMINATION, DECEASED
P-04660	PATIENT STATUS DETERMINATION, CHRONIC
P-04700	DISEASE CONDITION DETERMINATION, NOS
P-04710	DISEASE CONDITION DETERMINATION, UNCONTROLLED
P-04711	DISEASE CONDITION DETERMINATION, CHRONIC CONTINUOUS
P-04712	DISEASE CONDITION DETERMINATION, CHRONIC INTERMITTENT
P-04720	DISEASE CONDITION DETERMINATION, SLIGHTLY CONTROLLED
P-04730	DISEASE CONDITION DETERMINATION, MODERATELY CONTROLLED
P-04740	DISEASE CONDITION DETERMINATION, FAIRLY WELL CONTROLLED
P-04750	DISEASE CONDITION DETERMINATION, WELL CONTROLLED
P-04760	DISEASE CONDITION DETERMINATION, ARRESTED
P-04770	DISEASE CONDITION DETERMINATION, CURED
P-04810	TREATMENT RESPONSE DETERMINATION, NO RESPONSE
P-04820	TREATMENT RESPONSE DETERMINATION, MINIMAL
P-04830	TREATMENT RESPONSE DETERMINATION, FAIR
P-04840	TREATMENT RESPONSE DETERMINATION, GOOD
P-04850	TREATMENT RESPONSE DETERMINATION, EXCELLENT
P-05010	DETERMINATION OF OUTCOME, SATISFACTORY TO PATIENT
P-05020	DETERMINATION OF OUTCOME, UNSATISFACTORY TO PATIENT
P-05100	DETERMINATION OF OUTCOME, COMPLICATION UNAVOIDABLE
P-05110	DETERMINATION OF OUTCOME, COMPLICATION AVOIDABLE, NOS
P-05120	DETERM. OF OUTCOME, COMPLICATION AVOIDABLE, ERR IN DIAGNOSIS
P-05130	DETERM. OF OUTCOME, COMPLICATION AVOIDABLE, ERR IN JUDGEMENT
P-05140	DETERM. OF OUTCOME, COMPLICATION AVOIDABLE, ERR IN TECHNIQUE
P-06000	SCREENING PROCEDURE, NOS  (CODE TO DISEASE OR CONDITION)
P-06060	INFANT DEVELOPMENT SCREENING
P-06500	CONSULTATION
P-08100	PRESCRIPTION OF DRUG, PROPHYLACTIC, NOS
P-10000	INCISION, NOS  (-OTOMY)
P-10100	INCISION, EXPLORATORY
P-10200	INCISION, EXPLORATION AND BIOPSY
P-10220	INCISION AND RE-EXPLORATION, SECOND LOOK
P-10300	INCISION AND REMOVAL, NOS
P-10400	CESAREAN SECTION, CLASSICAL
P-10410	CESAREAN SECTION, LOW CERVICAL
P-10420	CESAREAN SECTION, EXTRAPERITONEAL
P-10590	DESTRUCTION OF LESION BY PHOTOCOAGULATION
P-10600	TRANSECTION, NOS
P-10605	TRANSECTION, 90 DEGREES
P-10610	TRANSECTION, 180 DEGREES
P-10612	TRANSECTION, 270 DEGREES
P-10615	TRANSECTION, 360 DEGREES
P-10740	INCISION AND RESUTURING
P-10810	INCISION AND DRAINAGE
P-10850	CENTESIS
P-11000	EXCISION, NOS  (-ECTOMY)
P-11010	RESECTION (LOCAL EXCISION)
P-11020	ENUCLEATION
P-11040	EXCISION, PARTIAL
P-11060	EXCISION, COMPLETE
P-11070	VASECTOMY (SEGMENTAL EXCISION AND LIGATION)
P-11100	AMPUTATION, NOS
P-11300	DEBRIDEMENT, NOS
P-11400	BIOPSY, NOS
P-11410	BIOPSY, EXCISION
P-11420	BIOPSY, BY SURGICAL EXPOSURE
P-11430	BIOPSY, NEEDLE
P-11440	BIOPSY, ASPIRATION OF TISSUE OR FLUID
P-11450	BIOPSY, COMBINED NEEDLE AND ASPIRATION
P-11480	BIOPSY, PUNCH
P-11540	CURETTAGE, NOS
P-11550	D & C OF UTERUS
P-11600	REMOVAL, NOS
P-11610	REMOVAL OF FOREIGN BODY
P-11620	REMOVAL OF SUTURES, NOS
P-11800	EXCISION OF TISSUE OR ORGAN FOR GRAFTING
P-12000	INJECTION, NOS
P-12090	TATTOOING
P-12100	INFUSION, NOS
P-12200	PERFUSION, NOS
P-12210	PERFUSION, IN SITU
P-12300	TRANSFUSION, NOS
P-12310	TRANSFUSION, EXCHANGE
P-12500	LAVAGE, NOS
P-12510	LAVAGE FOLLOWING INTUBATION
P-12550	INTUBATION, NOS
P-12570	INTUBATION AND ASPIRATION
P-12700	IMPLANTATION, NOS
P-12710	INSERTION OF CATHETER
P-12750	INSERTION OF IMPLANTATION OR THERAPEUTIC DEVICE
P-12770	INSERTION OR IMPLANTATION THERAP DEVICE, OPEN
P-12780	REMOVAL OF THERAPEUTIC DEVICE  (CODE TO E-901..-909..)
P-12790	REVERSAL (RE-IMPLANTATION)
P-12800	INJECTION OF CONTRAST MEDIA FOR RADIOGRAPHY, NOS
P-12900	ARTIFICIAL INSEMINATION, NOS
P-12X20	INTRAMUSCULAR INJECTION
P-12X51	INJECTION, INTRAUTERINE
P-13000	ENDOSCOPY, NOS  (-SCOPY)
P-13400	ENDOSCOPIC BIOPSY
P-14000	PLASTIC REPAIR, NOS  (-PLASTY)
P-14060	PLASTIC REPAIR, RECONSTRUCTION
P-14100	PLASTIC REPAIR AND TRANSFER OF TISSUE
P-14140	PLASTIC REPAIR, Z PLASTY
P-14180	PLASTIC REPAIR, REVISION AND TRANSFER, SEX-CHANGE, M TO F
P-14190	PLASTIC REPAIR, REVISION AND TRANSFER, SEX-CHANGE, F TO M
P-14200	TRANSPLANTATION, NOS
P-14210	TRANSPLANTATION, PINCH
P-14220	TRANSPLANTATION, SPLIT THICKNESS
P-14230	TRANSPLANTATION, FULL THICKNESS
P-14270	TRANSPLANTATION, AUTOGENOUS
P-14290	CORNEAL TRANSPLANTATION
P-14370	TRANSPLANTATION, HETEROAUTOGENOUS, NOS
P-14500	SURGICAL CONSTRUCTION OF ANASTOMOSIS  (-OSTOMY)
P-14510	SURGICAL CONSTRUCTION OF SHUNT
P-14520	SURGICAL CONSTRUCTION OF STOMA  (-OSTOMY)
P-14530	SURGICAL CONSTRUCTION OF WINDOW
P-14700	SURGICAL REPAIR, NOS
P-14800	FIXATION AND SUSPENSION, NOS  (-PEXY)
P-14850	MARSUPIALIZATION
P-14910	OPEN REDUCTION, NOS
P-14920	OPEN REDUCTION AND FIXATION  (CODE TO DEVICE, E-9....)
P-14930	FIXATION AND IMMOBILIZATION
P-15010	DESTRUCTION OF LESION BY CHEMICAL APPLICATION
P-15030	THERMOCAUTERY
P-15040	DESTRUCTION OF LESION OR STRUCTURE BY ELECTROSURGERY, NOS
P-15050	DESTRUCTION OF LESION OR STRUCTURE BY FULGURATION
P-15060	ELECTROCOAGULATION
P-15080	CATARACT REMOVAL (PHAKOEMULSIFICATION)
P-15090	DESTRUCT OR COAG OF LESION OR STRUCT BY PHOTO COAGULATION
P-16000	CLOSURE BY SUTURE, NOS  (-RHAPHY)
P-16010	CLOSURE OF SKIN BY SUTURE, NOS
P-16020	CLOSURE BY TAPE
P-16040	CLOSURE BY CLIP, CLAMP OR STABLE
P-16110	SUTURE OF WOUND FOLLOWING DEBRIDEMENT
P-16120	RESUTURE OF WOUND DEHISCENCE
P-16130	SECONDARY CLOSURE OF WOUND BY SUTURE
P-16200	CLOSURE BY LIGATION, NOS
P-16300	SUTURE LIGATURE, NOS
P-16400	SURGICAL CLOSURE, NOS
P-16500	SURGICAL CLOSURE OF ANASTOMOSIS
P-17000	MANIPULATION, NOS
P-17060	MANUAL REDUCTION, NOS
P-17100	EXTRACTION, NOS
P-17110	EXTRACTION, MANUAL
P-17300	INDUCTION OF LABOR BY RUPTURE OF MEMBRANES
P-17310	APPLICATION OF, OR DELIVERY BY FORCEPS, NOS
P-17450	CONVERSION OF POSITION, MANUAL
P-17500	EXTRACTION OF FETUS
P-17550	ABORTION, INDUCED, NOS
P-17600	DELIVERY, NOS
P-17620	DELIVERY, BREECH, FOOTLING
P-17640	DELIVERY, BREECH, COMPLETE
P-17700	DELIVERY, VERTEX
P-17800	APPLICATION OF DRESSING, NOS
P-17810	APPLICATION OF DRESSING, MINOR
P-17820	APPLICATION OF DRESSING, MAJOR
P-17830	APPLICATION OF DRESSING, WET TO DRY
P-17870	APPLICATION OF DRESSING, PRESSURE
P-17890	APPLICATION OF TRERAPEUTIC AGENT, NOS
P-17900	CHANGE OF DRESSING, NOS
P-18000	MANIPULATION AND APPLICATION OF CAST OR SPLINT, NOS
P-18010	CLOSED REDUCTION AND APPLIC OF CAST OR SPLINT, NOS
P-18100	APPLICATION OF CAST, NOS
P-18550	APPLICATION OF SPLINT, NOS
P-18900	REMOVAL OF CAST, NOS
P-18920	REMOVAL AND REPLACEMENT OF CAST, NOS
P-1X000	ANESTHESIA, NOS
P-1X010	GENERAL ANESTHESIA, NOS
P-1X030	INHALATION ANESTHESIA, MACHINE SYSTEM, CLOSED
P-1X060	INHAL. ANESTH. MACHINE SYSTEM, SEMI-CLOSED, REBREATH PRIMARY
P-1X100	INTRAVENOUS ANESTHESIA, NOS
P-1X200	REGIONAL ANESTHESIA, NOS
P-1X400	LOCAL ANESTHESIA, NOS
P-1X900	ACUPUNCTURE, NOS
P-20000	LABORATORY TEST, NOS
P-20040	SURGERY CANCELLED (LAB TEST ORDER, CANCELLATION)
P-20100	SPECIMEN COLLECTION, NOS
P-20110	SPECIMEN COLLECTION, VENOUS
P-20130	SPECIMEN COLLECTION, ARTERIAL
P-20200	SPECIMEN COLLECTION, MICROBIOLOGY, NOS
P-20220	SPECIMEN COLLECTION, MICROBIOLOGY ANAEROBLIC
P-20250	SPECIMEN COLLECTION, SEMEN
P-20300	SPECIMEN COLLECTION, URINE, NOS
P-20310	SPECIMEN COLLECTION, URINE, CLEAN CATCH
P-20320	SPECIMEN COLLECTION, URINE, CATHETERIZED
P-20340	SPECIMEN COLLECTION, URINE, SUPRAPUBIC
P-21100	ORGAN OR SYSTEM RELATED TEST PANEL
P-21300	SEMEN ANALYSIS, NOS
P-22000	BLOOD COAGULATION PROCEDURE, NOS
P-22510	PROTHROMBIN TIME
P-22570	THROMBIN TIME
P-22900	FIBRIN-FIBRINOGEN DEGRADATION PRODUCT ASSAY, NOS
P-23000	FIBRINOGEN ASSAY, NOS
P-23060	PROTAMINE SULFATE PRECIPITATION TEST
P-23200	PLATELET FUNCTION TEST, NOS
P-28000	LABORATORY HEMATOLOGY PROCEDURE, NOS
P-28130	BLOOD CELL PROFILE  (RBC, WBC, HGB, HCT AND INDICES)
P-28140	BLOOD CELL PROFILE WITH DIFFERENTIAL WBC COUNT
P-28220	BONE MARROW, SMEARING AND STAINING ONLY
P-28240	BONE MARROW, CELL BLOCK OR BIOPSY, STAIN AND INTERPRETATION
P-28260	BONE MARROW, INTERPRETATION
P-28310	CELL COUNT AND DIFFERENTIAL, BODY FLUID
P-28320	CELL COUNT, BODY FLUID
P-28510	HEMATOCRIT DETERMINATION
P-28520	HEMOGLOBIN DETERMINATION, NOS
P-28700	OSMOTIC FRAGILITY, NOS
P-28810	PARASITE DETECTION, BLOOD
P-28830	PLATELET COUNT
P-28910	RETICULOCYTE COUNT
P-29310	STAIN, IRON, BLOOD OR BONE MARROW
P-29500	HEMOSIDERIN TEST, URINE  (T-7X100)
P-30100	AUTOPSY EXAMINATION, NOS
P-30110	AUTOPSY, COMPLETE GROSS AND MICROSCOPIC EXAMINATION
P-32380	PHOTOGRAPHY, GROSS ORGAN
P-32390	PHOTOMICROGRAPHY
P-34100	MICROBIAL CULTURE, NOS
P-34120	MICROBIAL CULTURE, AEROBIC, SCREEN
P-34150	MICROBIAL CULTURE, ANAEROBIC, SCREEN
P-34190	BLOOD CULTURE, NOS
P-34220	MICROBIAL CULTURE, COMPLEX
P-34260	VIRAL CULTURE, NOS
P-34300	MICROBIAL SMEAR EXAMINATION, NOS
P-34310	MICROBIAL SMEAR, WET
P-34360	MICROBIAL SMEAR, DARK FIELD EXAMINATION
P-34410	STAIN, ACID FAST, ON PRIMARY SPECIMEN
P-34411	ACID-ETHER CONCENTRATION
P-34430	STAIN, ACID FAST, ON CULTURE
P-34460	SMEAR AND STAIN FOR VIRAL INCLUSIONS
P-34500	MICROBIAL OVA-PARASITE EXAMINATION, NOS
P-34510	MICROBIAL OVA-PARASITE EXAMINATION, FECAL
P-34550	ANIMAL INOCULATION, NOS
P-34660	CONCENTRATION FOR OVA AND CYSTS
P-34670	COVER SLIP PREPARATION
P-35510	MICROBIOLOGIC SEROLOGY PROCEDURE, QUALITATIVE
P-35520	MICROBIOLOGIC SEROLOGY PROCEDURE, QUANTITATIVE
P-36000	ANTIBIOTIC SENSITIVITY PROCEDURE, NOS
P-36010	SENSITIVITY, ANTIBIOTIC, AGAR DIFFUSION, DISC METHOD
P-36070	ANTIBIOTIC LEVEL DETERMINATION, NOS
P-36120	MINIMAL INHIBITORY CONCENTRATION, BACTERIAL SENSITIVITY
T-1X300	SMOOTH MUSCLE
T-1X500	BONY TISSUE, NOS
T-1X510	PERIOSTEUM
T-1X550	EPIPHYSIS, NOS
T-1X555	EPIPHYSEAL GROWTH PLATE, NOS
T-1X590	ARTICULAR SURFACE OF BONE, NOS
T-1X700	CARTILAGINOUS TISSUE, NOS
T-1Y000	SYNOVIAL FLUID
T-20000	RESPIRATORY SYSTEM, NOS
T-20100	UPPER RESPIRATORY TRACT, NOS
T-20200	LOWER RESPIRATORY TRACT, NOS
T-20300	RESPIRATORY EPITHELIUM
T-21000	NOSE
T-21010	MUCOUS MEMBRANE OF NOSE
T-21300	INTERNAL NOSE, NOS
T-21310	NARIS
T-21340	NASAL SEPTUM, NOS
T-22000	PARANASAL SINUS, NOS
T-22100	MAXILLARY SINUS, NOS
T-22200	FRONTAL SINUS, NOS
T-23000	NASOPHARYNX, NOS
T-23900	NASOPHARNYX AND ESOPHAGUS, CS
T-24000	EPIGLOTTIS AND LARYNX, NOS
T-24010	EPIGLOTTIS, NOS
T-24020	MUCOUS MEMBRANE OF EPIGLOTTIS
T-24100	LARYNX, NOS
T-24150	LARYNGEAL CARTILAGE
T-24400	VOCAL CORD, NOS
T-24440	GLOTTIS
T-25000	TRACHEA, NOS
T-25010	TRACHEAL MUCOUS MEMBRANE
T-25020	TRACHEAL SUBMUCOSA
T-25100	TRACHEAL CARTILAGE
T-25200	TRACHEAL BIFURCATION
T-25400	PERITRACHEAL TISSUE
T-26000	BRONCHUS, NOS
T-26010	MUCOUS MEMBRANE OF BRONCHUS
T-26040	BRONCHIAL CARTILAGE
T-26050	MUSCULARIS OF BRONCHUS
T-26800	ALL BRONCHI, NOS
T-26970	BRONCHUS AND ALVEOLUS, CS
T-26980	BRONCHUS AND LUNG, CS
T-27000	BRONCHIOLE, NOS
T-27010	MUCOUS MEMBRANE OF BRONCHIOLE
T-27030	MUSCULARIS OF BRONCHIOLE
T-27040	TERMINAL BRONCHIOLE
T-27800	ALL BRONCHIOLES, NOS
T-27900	BRONCHIOLO-PULMONARY, CS
T-28000	LUNG, NOS
T-28010	PULMONARY ALVEOLI
T-28012	ALVEOLAR SAC
T-28020	ALVEOLAR EPITHELIUM
T-28030	ALVEOLAR WALL
T-28080	HILUS OF LUNG, NOS
T-28090	PERIHILAR REGION OF LUNG
T-28100	RIGHT LUNG, NOS
T-28120	RIGHT LUNG, BASE
T-28200	RIGHT UPPLER LOBE OF LUNG, NOS
T-28300	RIGHT MIDDLE LOBE OF LUNG
T-28400	RIGHT LOWER LOBE OF LUNG, NOS
T-28440	RIGHT LOWER LUNG
T-28500	LEFT LUNG, NOS
T-28510	LEFT LUNG, APEX
T-28560	SEGMENT OF LEFT LUNG, NOS
T-28600	LEFT UPPER LOBE OF LUNG, NOS
T-28700	LEFT LOWER LOBE OF LUNG, NOS
T-28720	ANTERIOR MEDIAL BASAL SEGMENT, LOWER LEFT LOBE
T-28740	BASE OF LEFT LUNG, POSTERIOR BASAL SEGMENT
T-28780	INTERSTITIAL TISSUE OF LUNG
T-28800	LUNGS (BOTH)
T-28900	LUNG AND PLEURA, CS
T-29000	PLEURA, NOS
T-29010	PLEURAL MESOTHELIUM
T-29020	SUBPLEURAL TISSUE
T-29100	RIGHT PLEURA, NOS
T-29110	RIGHT VISCERAL PLEURA
T-29200	LEFT PLEURA, NOS
T-29210	LEFT VISCERAL PLEURA
T-29220	LEFT PARIETAL PLEURA
T-29330	DIAPHRAGMATIC PLEURA
T-2X010	UPPER RESPIRATORY FLUIDS
T-2X020	UPPER RESPIRATORY SPACES
T-2X110	NASAL MUCUS
T-2X120	NASAL CAVITY
T-2Y010	LOWER RESPIRATORY FLUIDS
T-2Y020	LOWER RESPIRATORY SPACES
T-2Y030	SPUTUM
T-2Y211	LARYNGEAL MUCUS
T-2Y320	TRACHEAL LUMEN
T-2Y600	PLEURAL FLUID, NOS
T-2Y700	PLEURAL CAVITY, NOS
T-2Y710	RIGHT PLEURAL CAVITY
T-2Y720	LEFT PLEURAL CAVITY
T-30000	CARDIOVASCULAR SYSTEM, NOS
T-31000	PERICARDIUM, NOS
T-31010	EPICARDIUM
T-31030	PERICARDIAL MESOTHELIUM
T-31040	PERICARDIAL FAT
T-32000	HEART, NOS
T-32010	RIGHT SIDE OF HEART
T-32020	LEFT SIDE OF HEART
T-32030	BASE OF HEART
T-32040	APEX OF HEART
T-32100	ATRIUM, NOS
T-32110	AURICULAR APPENDAGE, NOS
T-32120	INTERATRIAL SEPTUM
T-32130	FORAMEN OVALE, NOS
T-32200	RIGHT ATRIUM, NOS
T-32210	RIGHT AURICULAR APPENDAGE
T-32230	VALVE OF INFERIOR VENA CAVA
T-32300	LEFT ATRIUM, NOS
T-32310	LEFT AURICULAR APPENDAGE
T-32400	VENTRICLE, NOS
T-32410	INTERVENTRICULAR SEPTUM, NOS
T-32500	RIGHT VENTRICLE, NOS
T-32540	RIGHT VENTRICLE, NOS
